Barcode	cell_types	UMAP_1	UMAP_2
BC002933-1	Act_circ	-4.5618	-3.8176
BC002966-1	Act_circ	-2.4112	-3.7751
BC003962-1	Act2	2.7021	-4.1503
BC000103-1	Naive	5.5879	-0.2055
BC001643-1	Th17	-1.9836	4.4394
BC000690-1	Tfh	3.3912	3.1558
BC001796-1	Th17	-4.8412	2.8085
BC003279-1	Th_CTL_like	-0.2570	-4.7539
BC003572-1	Act2	3.8766	-3.7784
BC001603-1	Th17	-4.0346	4.0807
BC000048-1	Naive	5.6245	0.0823
BC002144-1	Th17	-4.0848	4.0057
BC000536-1	Tfh	3.7288	2.4494
BC002718-1	Tregs	-5.7286	0.8570
BC003317-1	Th_CTL_like	0.2756	-3.2685
BC000870-1	Th2	-0.3568	5.5602
BC001771-1	Th17	-3.9050	4.1934
BC002139-1	Th17	-2.3433	4.9038
BC003733-1	Act2	3.4882	-3.1971
BC003662-1	Act2	3.3980	-2.3725
BC002695-1	Tregs	-4.4990	0.6320
BC001081-1	Th2	-0.3534	3.4556
BC003408-1	Th_CTL_like	0.0333	-5.8020
BC001307-1	Th17	-2.1808	2.7908
BC001466-1	Th17	-3.4973	3.2482
BC001343-1	Th17	-2.7361	3.7058
BC001138-1	Th2	-0.7419	5.0364
BC002350-1	Th17	-3.6275	3.4103
BC003760-1	Act2	2.5554	-3.4027
BC002098-1	Th17	-2.9797	2.2391
BC000008-1	Naive	5.3222	-0.7214
BC000577-1	Tfh	3.5510	2.8498
BC001613-1	Th17	-4.3279	3.6755
BC000481-1	Tfh	3.0429	4.1029
BC002141-1	Th17	-4.2999	3.6759
BC000521-1	Tfh	2.6135	3.7827
BC002398-1	Tregs	-5.5772	-0.3855
BC000686-1	Tfh	4.4954	3.3134
BC002713-1	Tregs	-4.6637	0.2620
BC000045-1	Naive	5.1297	0.2004
BC000321-1	Naive	4.5533	0.2996
BC001155-1	Th17	-3.0061	4.0948
BC002539-1	Tregs	-5.0891	-0.1628
BC001412-1	Th17	-4.0783	2.7451
BC002931-1	Act_circ	-3.7712	-4.1646
BC000505-1	Tfh	3.7207	3.5840
BC002790-1	Act_circ	-4.7183	-2.9925
BC003613-1	Act2	3.4158	-3.4816
BC003463-1	Act2	3.0390	-3.6639
BC001413-1	Th17	-3.0012	3.5835
BC002725-1	Act_circ	-2.9816	-4.2268
BC001516-1	Th17	-3.3917	4.0335
BC000337-1	Naive	4.5048	-0.3405
BC001235-1	Th17	-3.5823	3.4798
BC002357-1	Th17	-4.4865	4.6084
BC000651-1	Tfh	4.3099	4.2367
BC002867-1	Act_circ	-3.3442	-3.8355
BC003504-1	Act2	3.9502	-2.9724
BC002687-1	Tregs	-4.7047	-0.2522
BC002332-1	Th17	-2.4387	4.0319
BC003053-1	Act_circ	-4.0185	-4.8318
BC003508-1	Act2	2.7553	-4.3121
BC001266-1	Th17	-3.7809	2.6582
BC002591-1	Tregs	-4.5744	-1.5161
BC000636-1	Tfh	2.6323	3.3483
BC003399-1	Th_CTL_like	-0.2112	-4.2927
BC003688-1	Act2	2.0690	-2.4390
BC001070-1	Th2	-0.1932	5.4543
BC000195-1	Naive	6.2101	-0.9044
BC003247-1	Th_CTL_like	1.0566	-3.5053
BC003655-1	Act2	4.4366	-4.7764
BC003913-1	Act2	2.7435	-3.9137
BC002997-1	Act_circ	-3.2032	-4.8508
BC003600-1	Act2	4.1327	-3.6964
BC001523-1	Th17	-3.7673	3.6735
BC002986-1	Act_circ	-4.4339	-2.5318
BC000705-1	Tfh	4.5025	3.5559
BC002179-1	Th17	-3.2178	3.1666
BC003574-1	Act2	3.3322	-3.7303
BC001280-1	Th17	-3.3286	4.7709
BC001528-1	Th17	-4.4340	3.8629
BC002835-1	Act_circ	-3.6293	-2.7513
BC001903-1	Th17	-4.5596	3.1758
BC002762-1	Act_circ	-2.6203	-2.9392
BC000308-1	Naive	6.1032	-0.2457
BC000733-1	Tfh	4.2592	2.8286
BC000202-1	Naive	4.8990	-1.6985
BC002262-1	Th17	-2.7910	3.8003
BC002031-1	Th17	-3.3683	4.9694
BC000724-1	Tfh	3.3039	3.2374
BC000957-1	Th2	0.3435	4.9356
BC002522-1	Tregs	-5.3706	-0.3818
BC002054-1	Th17	-2.6426	2.4159
BC003499-1	Act2	2.7409	-1.9321
BC000655-1	Tfh	3.6331	3.5339
BC000751-1	Tfh	3.8263	3.6644
BC001768-1	Th17	-3.5649	3.2028
BC003917-1	Act2	4.1964	-3.7400
BC002710-1	Tregs	-6.0209	0.2019
BC002939-1	Act_circ	-3.5748	-2.7405
BC000769-1	Tfh	4.0531	3.6949
BC001129-1	Th2	-0.0539	6.2542
BC000072-1	Naive	5.2635	0.2071
BC000982-1	Th2	-0.0782	4.2278
BC001034-1	Th2	-0.2353	6.0883
BC002822-1	Act_circ	-4.5429	-3.9686
BC002581-1	Tregs	-5.6382	0.2556
BC003578-1	Act2	4.9558	-4.1838
BC002221-1	Th17	-4.0301	3.5728
BC003459-1	Act2	3.1568	-3.9462
BC000674-1	Tfh	4.1897	4.1946
BC001232-1	Th17	-4.1724	3.4980
BC000397-1	Naive	5.0243	0.0290
BC002684-1	Tregs	-6.8858	1.0322
BC002616-1	Tregs	-5.7852	0.6571
BC001512-1	Th17	-2.9280	2.9167
BC003887-1	Act2	2.8363	-4.0328
BC002840-1	Act_circ	-4.2354	-4.0193
BC003477-1	Act2	3.3765	-2.0959
BC003160-1	Th_CTL_like	0.0949	-4.6841
BC002825-1	Act_circ	-3.9241	-4.3091
BC003130-1	Th_CTL_like	1.1063	-4.9855
BC000433-1	Naive	4.7657	-0.8260
BC001387-1	Th17	-2.2457	4.3173
BC003696-1	Act2	3.3342	-4.1032
BC001834-1	Th17	-2.7770	3.5466
BC000153-1	Naive	5.5305	0.4787
BC001462-1	Th17	-3.5566	3.1844
BC000958-1	Th2	0.3960	5.4566
BC001886-1	Th17	-3.1002	3.0977
BC001698-1	Th17	-3.5325	4.2515
BC002981-1	Act_circ	-2.8507	-5.3874
BC003527-1	Act2	3.6919	-3.4765
BC000994-1	Th2	0.0764	4.9419
BC003901-1	Act2	4.2312	-3.1061
BC000684-1	Tfh	4.2790	4.0178
BC003110-1	Act_circ	-4.2955	-2.9038
BC003601-1	Act2	2.4475	-3.1365
BC001932-1	Th17	-3.9765	2.6658
BC003252-1	Th_CTL_like	-0.3170	-4.8986
BC000076-1	Naive	4.5418	0.3018
BC001260-1	Th17	-4.3686	3.2563
BC002293-1	Th17	-2.5137	4.6847
BC000732-1	Tfh	3.3055	3.0377
BC002058-1	Th17	-3.7534	4.9026
BC000615-1	Tfh	4.8641	3.8957
BC002877-1	Act_circ	-2.8576	-3.8747
BC003659-1	Act2	3.4101	-3.8729
BC000318-1	Naive	5.5207	0.3023
BC001606-1	Th17	-4.5026	3.6320
BC001812-1	Th17	-3.4737	2.2844
BC001620-1	Th17	-4.5233	4.4474
BC003649-1	Act2	2.6204	-1.7526
BC003201-1	Th_CTL_like	-0.1572	-3.7311
BC001921-1	Th17	-3.2922	4.7437
BC002387-1	Tregs	-3.8370	1.5662
BC000965-1	Th2	-0.0703	5.2254
BC003059-1	Act_circ	-3.6324	-2.9253
BC003826-1	Act2	2.5080	-3.6802
BC000780-1	Tfh	3.6020	3.5353
BC003634-1	Act2	2.9912	-3.9923
BC002810-1	Act_circ	-3.4127	-3.7197
BC000766-1	Tfh	2.5706	4.4807
BC000269-1	Naive	5.4560	0.7809
BC001948-1	Th17	-4.1742	3.4601
BC002847-1	Act_circ	-3.0065	-3.7876
BC000856-1	Th2	0.7384	4.4682
BC003280-1	Th_CTL_like	0.1816	-4.7982
BC001865-1	Th17	-2.7429	2.5229
BC000945-1	Th2	-0.5849	4.3403
BC001168-1	Th17	-3.0284	3.0142
BC001852-1	Th17	-3.1410	3.7753
BC002963-1	Act_circ	-2.2944	-2.8246
BC001824-1	Th17	-4.7419	3.3808
BC000310-1	Naive	4.8799	0.9106
BC003565-1	Act2	3.8706	-3.3011
BC001115-1	Th2	-0.0881	4.3427
BC002311-1	Th17	-3.5327	3.9018
BC001919-1	Th17	-3.5146	4.4587
BC002938-1	Act_circ	-3.2518	-3.2104
BC000549-1	Tfh	3.3318	5.2742
BC001944-1	Th17	-3.1421	3.1092
BC002295-1	Th17	-2.8426	3.1245
BC002920-1	Act_circ	-2.7150	-5.0535
BC001097-1	Th2	-0.4199	5.8175
BC001729-1	Th17	-2.9909	3.3161
BC002259-1	Th17	-3.6201	4.3781
BC003379-1	Th_CTL_like	-0.6836	-4.0256
BC003795-1	Act2	2.8293	-4.5081
BC003209-1	Th_CTL_like	-0.5314	-5.5402
BC003156-1	Th_CTL_like	0.3059	-4.8484
BC002760-1	Act_circ	-3.0276	-4.4973
BC000037-1	Naive	5.8454	-0.3751
BC002503-1	Tregs	-6.3807	-0.2495
BC000709-1	Tfh	3.5330	3.4549
BC002590-1	Tregs	-5.2723	0.3406
BC001347-1	Th17	-4.5103	3.7157
BC001520-1	Th17	-4.1112	3.9767
BC002945-1	Act_circ	-3.5657	-4.3204
BC000090-1	Naive	4.9067	0.7109
BC002731-1	Act_circ	-2.7355	-3.1804
BC000118-1	Naive	5.9238	-0.7325
BC001953-1	Th17	-2.4996	2.4972
BC001002-1	Th2	-0.1080	3.5469
BC000405-1	Naive	4.2157	-0.1918
BC003749-1	Act2	4.1232	-3.0965
BC002585-1	Tregs	-4.5246	0.1323
BC000100-1	Naive	5.2231	0.1959
BC000225-1	Naive	4.8821	-0.7310
BC003456-1	Act2	3.0573	-3.3528
BC001444-1	Th17	-2.5902	3.6564
BC003146-1	Th_CTL_like	0.3165	-6.1248
BC001655-1	Th17	-3.0978	4.4334
BC002201-1	Th17	-3.1694	3.7856
BC003427-1	Th_CTL_like	-1.1596	-4.3624
BC001756-1	Th17	-3.8279	3.3259
BC003846-1	Act2	4.3086	-4.1947
BC003772-1	Act2	2.1599	-3.1552
BC000546-1	Tfh	3.3118	4.8540
BC000217-1	Naive	4.2904	-0.1091
BC003211-1	Th_CTL_like	-0.6662	-4.9737
BC001600-1	Th17	-4.8755	3.3196
BC000443-1	Naive	5.7618	0.0043
BC003480-1	Act2	4.1387	-4.1555
BC002769-1	Act_circ	-3.7456	-4.4132
BC000529-1	Tfh	3.5574	3.2359
BC002970-1	Act_circ	-2.5451	-3.3570
BC003888-1	Act2	2.5318	-4.3735
BC003753-1	Act2	3.3443	-3.3060
BC000492-1	Tfh	2.7568	3.3379
BC001111-1	Th2	0.5356	4.9291
BC003924-1	Act2	3.4018	-2.9638
BC001568-1	Th17	-2.2629	2.7295
BC003871-1	Act2	2.5688	-4.1475
BC000455-1	Naive	5.8530	-0.3995
BC002819-1	Act_circ	-3.5014	-2.2451
BC003945-1	Act2	3.1439	-3.9941
BC000787-1	Tfh	3.0474	2.4954
BC003707-1	Act2	3.9606	-2.4524
BC000824-1	Tfh	3.8554	3.6274
BC003628-1	Act2	3.3873	-3.1411
BC001857-1	Th17	-3.9955	4.2479
BC003953-1	Act2	4.2122	-4.3948
BC002667-1	Tregs	-5.9403	-0.1107
BC000058-1	Naive	4.3069	-0.8837
BC003551-1	Act2	2.5148	-3.8851
BC002185-1	Th17	-3.4245	3.5444
BC003868-1	Act2	2.7339	-2.8817
BC000475-1	Tfh	3.0476	3.3965
BC003357-1	Th_CTL_like	-0.0691	-4.7719
BC001896-1	Th17	-3.6961	4.2691
BC000374-1	Naive	4.4442	-1.1194
BC002653-1	Tregs	-4.1480	-0.2940
BC002865-1	Act_circ	-3.6722	-2.8127
BC003418-1	Th_CTL_like	-0.9438	-5.0157
BC001726-1	Th17	-3.7424	2.8018
BC001821-1	Th17	-4.0824	2.9623
BC002841-1	Act_circ	-4.2892	-2.9558
BC001013-1	Th2	0.5495	3.9710
BC001418-1	Th17	-1.7666	2.9201
BC002424-1	Tregs	-5.2572	-0.4124
BC002619-1	Tregs	-6.1750	-1.6845
BC000572-1	Tfh	3.8423	3.8628
BC002650-1	Tregs	-5.5209	0.5241
BC000835-1	Th2	-0.6800	5.0565
BC003856-1	Act2	4.8603	-2.9535
BC003812-1	Act2	3.0718	-4.3930
BC002320-1	Th17	-3.3748	3.6581
BC000981-1	Th2	-0.1151	6.0690
BC002484-1	Tregs	-6.0051	0.5487
BC001079-1	Th2	-1.0892	4.2673
BC001829-1	Th17	-5.3337	3.5093
BC003640-1	Act2	2.3130	-3.3776
BC000247-1	Naive	5.5782	-0.5050
BC002158-1	Th17	-3.1636	3.6765
BC000341-1	Naive	4.9294	-0.3865
BC000863-1	Th2	-1.6661	5.3550
BC003891-1	Act2	4.2636	-4.2688
BC002211-1	Th17	-3.7836	2.5036
BC000813-1	Tfh	4.3655	3.8671
BC001711-1	Th17	-3.8420	3.4096
BC001403-1	Th17	-3.7068	2.8632
BC000779-1	Tfh	4.0632	3.5297
BC000801-1	Tfh	4.0976	2.9614
BC001194-1	Th17	-3.2234	2.7301
BC002527-1	Tregs	-6.1470	1.0153
BC003623-1	Act2	3.4590	-3.2016
BC002500-1	Tregs	-5.2242	-0.4733
BC000438-1	Naive	6.1628	-0.5320
BC000196-1	Naive	4.9322	1.0093
BC002908-1	Act_circ	-3.8650	-2.5358
BC002364-1	Th17	-3.1470	3.9754
BC000086-1	Naive	5.0704	-1.1889
BC000508-1	Tfh	2.3335	4.9368
BC001335-1	Th17	-4.1145	3.4327
BC002750-1	Act_circ	-2.9577	-3.6647
BC002243-1	Th17	-4.1753	3.0511
BC000700-1	Tfh	3.7663	2.7929
BC003878-1	Act2	5.2829	-3.7140
BC001882-1	Th17	-4.4709	3.0365
BC003683-1	Act2	2.9289	-3.8780
BC000628-1	Tfh	1.9510	4.7520
BC001746-1	Th17	-3.6769	3.1917
BC002594-1	Tregs	-6.6766	-0.2954
BC001069-1	Th2	-0.9044	3.8756
BC003232-1	Th_CTL_like	0.2325	-5.4924
BC003168-1	Th_CTL_like	0.5114	-4.5922
BC000084-1	Naive	3.3019	-1.6108
BC001208-1	Th17	-2.7081	3.2197
BC000504-1	Tfh	3.5894	3.3231
BC002538-1	Tregs	-5.4336	0.3424
BC002510-1	Tregs	-5.0084	0.5671
BC000889-1	Th2	0.7268	4.6656
BC001071-1	Th2	0.1800	5.5725
BC000197-1	Naive	5.3491	0.8887
BC003824-1	Act2	3.0884	-3.6878
BC000899-1	Th2	0.2318	4.0591
BC000297-1	Naive	5.7108	1.1757
BC000821-1	Tfh	3.5546	3.6134
BC002246-1	Th17	-4.0719	2.9472
BC000771-1	Tfh	2.5519	4.2302
BC001440-1	Th17	-4.0889	3.9159
BC001982-1	Th17	-3.0589	2.7469
BC003360-1	Th_CTL_like	0.1349	-5.3709
BC002093-1	Th17	-3.7990	3.3118
BC003615-1	Act2	3.0882	-2.9570
BC001482-1	Th17	-2.8385	2.2192
BC001422-1	Th17	-4.2473	3.6444
BC001648-1	Th17	-4.3437	4.0202
BC001022-1	Th2	-0.5682	5.7401
BC000847-1	Th2	-0.5084	5.5371
BC001532-1	Th17	-3.2971	3.3429
BC001802-1	Th17	-4.1192	4.5507
BC003892-1	Act2	1.7022	-3.6204
BC000419-1	Naive	4.9993	-0.3491
BC001723-1	Th17	-3.6867	3.4129
BC002278-1	Th17	-2.8700	4.1770
BC000300-1	Naive	4.0872	-0.1700
BC000392-1	Naive	4.9598	-0.2106
BC002153-1	Th17	-2.6729	2.7576
BC001198-1	Th17	-3.3520	2.5893
BC003570-1	Act2	3.7583	-3.6898
BC003621-1	Act2	2.6025	-3.8805
BC002676-1	Tregs	-6.1491	-0.1725
BC001463-1	Th17	-2.0044	3.2512
BC000022-1	Naive	5.6382	1.7436
BC000229-1	Naive	5.5645	0.5254
BC000603-1	Tfh	4.4010	2.7838
BC001609-1	Th17	-3.1446	2.7597
BC000673-1	Tfh	2.7073	4.9923
BC002061-1	Th17	-3.9723	4.3375
BC000124-1	Naive	6.1147	-0.4089
BC003195-1	Th_CTL_like	0.4097	-4.0131
BC001214-1	Th17	-2.7394	4.0267
BC003672-1	Act2	3.4138	-4.8805
BC002556-1	Tregs	-5.2104	0.0355
BC002477-1	Tregs	-5.0617	-0.9495
BC000316-1	Naive	4.2800	0.2054
BC002438-1	Tregs	-4.7628	-0.0897
BC001664-1	Th17	-3.0405	2.7528
BC002597-1	Tregs	-4.3511	-0.9990
BC001754-1	Th17	-3.6804	4.7517
BC002781-1	Act_circ	-4.9600	-2.5667
BC001125-1	Th2	0.0456	5.0980
BC001076-1	Th2	0.7237	3.5950
BC003430-1	Th_CTL_like	-0.6957	-3.3828
BC003278-1	Th_CTL_like	-0.5217	-5.5631
BC002067-1	Th17	-4.7543	4.3182
BC000111-1	Naive	5.1495	0.3911
BC000701-1	Tfh	3.2606	3.2225
BC001132-1	Th2	-0.0788	4.8403
BC003735-1	Act2	4.3294	-2.2156
BC003532-1	Act2	4.1510	-3.5903
BC000550-1	Tfh	2.7945	3.4065
BC000790-1	Tfh	1.9994	3.8309
BC001475-1	Th17	-3.4809	2.5519
BC001142-1	Th2	0.6960	4.6141
BC002932-1	Act_circ	-5.3173	-3.1525
BC000775-1	Tfh	2.2376	3.2832
BC003185-1	Th_CTL_like	-0.1432	-5.0744
BC003881-1	Act2	3.3421	-4.0660
BC000215-1	Naive	4.6417	0.1187
BC002005-1	Th17	-3.4810	1.9640
BC002728-1	Act_circ	-4.7340	-3.5364
BC003077-1	Act_circ	-3.5911	-4.3184
BC001659-1	Th17	-3.7658	3.5779
BC001939-1	Th17	-4.0139	2.6389
BC002296-1	Th17	-3.3266	2.5503
BC003533-1	Act2	3.2505	-4.6097
BC000865-1	Th2	-0.3476	4.3663
BC002873-1	Act_circ	-2.9259	-3.0363
BC000925-1	Th2	-0.8036	4.6108
BC003385-1	Th_CTL_like	0.3241	-5.6744
BC002103-1	Th17	-3.6130	3.9948
BC002839-1	Act_circ	-4.7946	-2.5118
BC001253-1	Th17	-3.4745	3.1342
BC002348-1	Th17	-3.4656	3.3259
BC003067-1	Act_circ	-2.5476	-3.5989
BC002294-1	Th17	-3.7737	3.7368
BC001673-1	Th17	-4.5204	3.6015
BC002039-1	Th17	-4.6835	2.8019
BC003318-1	Th_CTL_like	0.9626	-5.3313
BC001763-1	Th17	-4.2018	3.4776
BC002501-1	Tregs	-4.5160	0.6765
BC000956-1	Th2	0.1613	4.4930
BC001191-1	Th17	-3.5183	3.3372
BC002705-1	Tregs	-4.3257	-0.0822
BC000474-1	Tfh	3.9837	3.9684
BC000098-1	Naive	4.5392	-0.9667
BC002440-1	Tregs	-5.3693	0.0468
BC002508-1	Tregs	-4.6385	0.7300
BC002151-1	Th17	-4.2345	4.0745
BC000160-1	Naive	5.9748	0.6290
BC002732-1	Act_circ	-4.1190	-3.4057
BC000641-1	Tfh	4.5682	2.9041
BC000268-1	Naive	5.0967	0.2225
BC001063-1	Th2	0.4541	5.4755
BC003055-1	Act_circ	-4.4075	-2.6650
BC001721-1	Th17	-4.8102	4.1387
BC001848-1	Th17	-3.0349	3.2410
BC003227-1	Th_CTL_like	0.2326	-5.5113
BC001439-1	Th17	-3.9282	4.0915
BC000634-1	Tfh	3.6985	3.5669
BC002914-1	Act_circ	-3.8868	-3.3766
BC001200-1	Th17	-2.3288	3.8504
BC002056-1	Th17	-4.6798	3.2038
BC001478-1	Th17	-2.3090	3.2094
BC002899-1	Act_circ	-2.6373	-3.9605
BC003919-1	Act2	4.2859	-2.6379
BC001150-1	Th17	-2.2109	3.2901
BC003266-1	Th_CTL_like	1.7776	-4.7694
BC000661-1	Tfh	3.4948	3.3675
BC003306-1	Th_CTL_like	-0.2377	-4.9305
BC002978-1	Act_circ	-4.7022	-4.4841
BC003604-1	Act2	4.8853	-3.3934
BC001184-1	Th17	-3.1190	3.4512
BC000486-1	Tfh	3.1914	3.4564
BC001628-1	Th17	-4.1924	3.8696
BC003908-1	Act2	2.7297	-3.7221
BC003951-1	Act2	5.0041	-3.6046
BC003005-1	Act_circ	-2.9394	-3.3680
BC002952-1	Act_circ	-2.5797	-3.6680
BC002215-1	Th17	-2.9304	2.9654
BC003550-1	Act2	4.1611	-3.4917
BC000764-1	Tfh	3.1259	2.0196
BC000236-1	Naive	4.4021	0.0716
BC001181-1	Th17	-3.9102	3.1263
BC001961-1	Th17	-3.1004	5.1157
BC000351-1	Naive	5.1563	-1.3143
BC002895-1	Act_circ	-3.8196	-4.1643
BC002955-1	Act_circ	-3.2859	-3.6350
BC003327-1	Th_CTL_like	0.5204	-5.2261
BC003663-1	Act2	3.6341	-3.1215
BC001480-1	Th17	-2.9651	4.0280
BC000744-1	Tfh	3.9772	3.2735
BC001496-1	Th17	-2.7365	3.4348
BC002307-1	Th17	-3.8333	2.5189
BC001323-1	Th17	-3.2373	4.0898
BC001358-1	Th17	-3.7086	3.3309
BC002303-1	Th17	-3.2052	4.2875
BC003407-1	Th_CTL_like	-0.2241	-5.6805
BC003867-1	Act2	3.9645	-4.7743
BC000627-1	Tfh	2.4341	3.3998
BC003969-1	Act2	3.2682	-4.2592
BC002871-1	Act_circ	-3.5300	-2.8814
BC003098-1	Act_circ	-3.3835	-4.3763
BC001090-1	Th2	0.0970	3.7934
BC002148-1	Th17	-3.9487	2.9622
BC000427-1	Naive	4.9598	-0.7489
BC003416-1	Th_CTL_like	-0.3438	-5.5633
BC002133-1	Th17	-3.2284	3.9817
BC003711-1	Act2	3.6222	-3.9564
BC002397-1	Tregs	-5.7390	0.0458
BC000588-1	Tfh	4.6386	4.0386
BC002535-1	Tregs	-5.2082	-0.2471
BC001817-1	Th17	-2.8239	2.7912
BC001743-1	Th17	-3.0528	2.7641
BC001840-1	Th17	-3.6564	3.0942
BC003767-1	Act2	3.8461	-2.8091
BC000831-1	Th2	-0.4223	5.8056
BC000380-1	Naive	4.4455	1.3853
BC002738-1	Act_circ	-2.3339	-3.2933
BC002164-1	Th17	-2.6385	3.5140
BC001825-1	Th17	-4.7237	3.1093
BC003823-1	Act2	3.1217	-2.1740
BC002439-1	Tregs	-5.3758	-0.2714
BC001524-1	Th17	-4.0695	3.0731
BC001391-1	Th17	-3.6951	4.3169
BC003224-1	Th_CTL_like	-0.5401	-4.2458
BC002321-1	Th17	-4.5459	4.6921
BC003204-1	Th_CTL_like	-0.0947	-5.0912
BC003489-1	Act2	2.6064	-4.0370
BC000294-1	Naive	5.4782	0.0411
BC000362-1	Naive	4.8977	0.0045
BC001431-1	Th17	-4.2677	3.2985
BC002686-1	Tregs	-4.0925	-0.1464
BC002719-1	Tregs	-5.7116	0.3423
BC000388-1	Naive	4.2971	0.7361
BC000011-1	Naive	6.4737	0.4081
BC001110-1	Th2	0.2754	5.2207
BC001059-1	Th2	-1.3523	4.5278
BC001801-1	Th17	-2.9457	2.9457
BC001849-1	Th17	-3.0749	3.9827
BC000670-1	Tfh	3.1929	3.3859
BC000544-1	Tfh	3.5634	5.1238
BC001136-1	Th2	-0.8319	4.7190
BC000005-1	Naive	5.6129	-0.8157
BC003595-1	Act2	3.8203	-3.8034
BC000382-1	Naive	4.5499	-0.0450
BC000491-1	Tfh	4.1146	2.7951
BC003009-1	Act_circ	-4.3711	-2.1610
BC003191-1	Th_CTL_like	0.1884	-4.3577
BC000756-1	Tfh	3.0398	3.5144
BC002313-1	Th17	-3.3752	3.9958
BC002120-1	Th17	-2.9692	3.0529
BC002922-1	Act_circ	-2.8938	-3.2498
BC000811-1	Tfh	3.5684	3.6221
BC000595-1	Tfh	2.4541	2.9550
BC003296-1	Th_CTL_like	0.8459	-6.5643
BC001378-1	Th17	-2.6391	3.7773
BC003585-1	Act2	3.5279	-3.5894
BC000354-1	Naive	4.0549	-1.0384
BC001390-1	Th17	-3.3973	4.0347
BC003745-1	Act2	2.6858	-3.3911
BC003875-1	Act2	2.7354	-4.8328
BC002291-1	Th17	-3.9305	4.4921
BC002811-1	Act_circ	-2.6826	-3.5343
BC002828-1	Act_circ	-4.0442	-3.2281
BC003033-1	Act_circ	-4.1621	-4.3024
BC000152-1	Naive	5.2639	-0.4772
BC003620-1	Act2	2.1309	-3.7338
BC002776-1	Act_circ	-3.3820	-3.1996
BC003104-1	Act_circ	-3.5671	-4.6215
BC003230-1	Th_CTL_like	0.7716	-4.4116
BC000862-1	Th2	0.9677	6.2681
BC001419-1	Th17	-3.1292	2.2287
